input, output
오늘 하루는 너무 길었어,Today felt like it dragged on forever ⏳
책 읽고 있어,Reading a book it’s really captivating 📖
다 끝냈어,Finished everything I needed to do finally 🏁
피자 먹고 있어, Munchin’ on some pizza living the dream 🍕
운동 중이야, Hittin’ the gym gotta stay fit 💪
새로 산 옷 입고 있어, Rockin’ new threads drippin’ fresh 🧢
지금 춤추고 있어, Dancin’ it out vibes all day 💃
친구랑 카페 가고 있어, On my way to the café with the squad ☕
배고파서 뭐 먹을지 몰라, Starvin’ don’t even know what I want to eat 🤔
드라이브 중이야, Cruisin’ down the street wind in my hair 🚗
비가 와서 우산 챙겼어, Grabbed my umbrella rain can’t stop me ☔
새로운 노래 찾아 들었어, Just found a new banger it’s fire 🔥
오늘도 학교 가야 해, Back at school grindin’ like always 📚
지금 친구 만나러 가, Goin’ to link up with the crew 🔥
게임에서 이겼어, Took the dub in the game no cap 🏆
지금 혼자 있어, Just chillin’ solo for a bit 🧘‍♂️
피곤해서 잠 올 것 같아, Dead tired sleep’s calling me 😴
영화 보러 가고 있어, Headed to catch a flick 🎬
여행 가고 싶어, Wanna dip and take a trip fr 🌍
목이 마른데, Thirsty as hell need a drink asap 🥤
오늘은 일찍 일어났어, Woke up early today feeling productive ⏰
피아노 치고 있어, Hittin’ some piano keys just vibin’ 🎹
잠깐만, 나 잠깐만 Wait up I need a second 🕐
친구들이랑 놀고 있어, Chillin’ with the crew squad goals 👯‍♀️
오늘 너무 더워, It’s mad hot today AC on blast 🔥
아침 먹고 있어, Mornin’ grub time cereal vibes 🍳
주말에 뭐 할지 몰라, Don’t know what to do this weekend any ideas? 🤷‍♂️
지금 음악 듣고 있어, Vibin’ to some smooth tunes 🎶
가족이랑 시간 보내는 중, Spending time with the fam love it ❤️
오늘 하루 너무 길었어, Today felt like a marathon bruh ⏳
작은 일 하려고 나갔어, Steppin’ out for some quick errands 🏃‍♀️
밤새 할 일 있어, Got stuff to do all night no sleep tonight 🔥
친구랑 스케이트보드 타고 있어, Skatin’ with the homies catch me on the board 🛹
간식 먹고 있어, Snack time! Munchin’ on some chips 🍟
일하러 가야 해, Gotta head to the grind work calls 📈
기분 최고, Feelin’ like a million bucks today 💰
시간 안 맞춰서 못 갔어, Couldn’t make it ran outta time ⏱️
길을 잃었어, Lost in the city send help 🗺️
좀 이따 전화할게, I’ll hit you up in a sec don’t trip 📞
오늘 너무 쉬었어, Took a whole day to just relax no regrets 🛀
오늘 할 일이 많아, Got a ton of stuff to handle today 📋
친구가 미쳤어, My friend is wild can’t keep up 🤪
아침에 일찍 일어났어, Woke up early this morning ready to seize the day ⏰
오늘 커피 마셨어, Sippin’ on some coffee to kickstart my day ☕
너무 재밌어서 시간이 안 가, Time flies when you’re having fun 🕐
운전 중이야, Cruisin’ to my next stop 🛣️
몸이 아파, Body’s sore from yesterday’s workout 🏋️‍♂️
밖에 나가고 싶어, Wanna get out and breathe some fresh air 🌬️
시험 준비 중, Gotta study for that big exam 📚
새로운 게임 시작했어, Started a new game it’s so lit 🎮
오늘 너무 피곤해, Dead tired after a long day 😩
오늘 하루 어땠어?, How’s your day been fam? 🤔
엄마랑 쇼핑 중, Shopping with mom fun times 🛍️
책 읽고 있어, Lost in a book it's a vibe 📖
저녁에 뭐 할지 모르겠어, Not sure what’s for dinner yet 🤷‍♂️
친구랑 운동 가, Hittin’ the gym with my bestie 💪
그냥 앉아서 쉬고 있어, Just sitting back taking a break 🛋️
도넛 먹고 있어, Just crushin’ on some fresh donuts vibe’s chill 🍩
배고파, Hungry as hell need something to hit the spot 😤
지금 뭐해?, What’s good right now? Catch me vibin’ 🔥
이거 진짜 멋져, This is wild no cap it's the move 😎
피곤해, Low-key drained but still movin’ 💤
친구 만났어, Chillin' with the crew we out here 🌍
공기놀이해, Old school vibes catch me playin’ games ✌️
숙제해야 돼, Gotta hit this grind homework's on my neck 📚
기분 좋아, Feeling light this energy’s different ✨
비 와, Rain’s fallin’ but the vibe's still solid 🌧️
놀고 싶어, Just tryna kick back and vibe out no cap 🍃
졸려, Eyes heavy but the night’s young 😴
뭐 먹을까?, What we eating? Need that fire meal 🔥
심심해, Just tryna find something to do everything's dead 🥱
학교 가기 싫어, Not feelin’ school today but we gotta pull up 👀
지각했어, Late as hell but we in here anyway ⏰
엄마한테 혼났어, Mom hit me with the lecture it’s whatever 🤦‍♂️
오늘 날씨 좋아, Sky's flexin' hard today perfect day 🌞
운동했어, Got that workout in feelin’ strong 💪
게임 하고 있어, Gaming session’s on can’t stop won’t stop 🎮
노래 듣는 중이야, On repeat these tracks hit different 🔥
친구랑 전화 중이야, Choppin’ it up with the homie vibe check 📞
카페 왔어, Coffee’s on just sippin’ and takin’ it slow ☕
시험 망했어, That test was a L but we learn from it 📉
지갑 잃어버렸어, Lost my wallet but we still movin’ 💸
배 아파, Stomach's wildin’ gotta chill 🥴
집에 가고 싶어, Just wanna dip back home kick my feet up 🏠
알바 가야 돼, Gotta clock in work never stops 💼
지금 가는 중이야, On the move no time to waste 🚶‍♂️
할 말 까먹었어, Lost my thought brain went blank for a sec 🧠
배불러, Full as hell can’t eat another bite 🍴
핸드폰 배터리 없어, Phone’s dead send a charger stat 🔋
오늘 너무 피곤해, Tired to the bone today need sleep ASAP 🛏️
새벽까지 깨어 있었어, All-nighter vibes low-key suffering ☕
늦잠 잤어, Missed the alarm sleep got me good 😴
할 게 너무 많아, List’s too long can’t keep up 📝
카톡 답장 안 옴, Left on read real pain 💔
새 신발 샀어, Got some fresh kicks step in the game 🔥
기차 탔어, Chillin' on the train heading downtown 🚉
맛있는 거 먹고 싶어, Cravin’ something fire right now 🔥
약속 취소됐어, Plans got canceled no surprise huh? 🙄
지금 쉬는 중이야, Just takin’ a pause no rush 🛋️
너무 졸려서 눈 감겼어, Knocked out for a sec eyes closed no cap 😴
집 가는 길이야, On my way back to the crib peace ✌️
바람 선선해, Cool breeze hittin’ different today 🌬️
오늘 할 일 많아, To-do list’s lookin’ crazy right now 📋
지금은 아무것도 안 해, Just vibin’ no plans just chillin’ ✌️
오늘 너무 힘들어, Feelin’ drained like the whole world’s on my shoulders 😩
비 오면 뭔가 좋다, Something 'bout the rain hits different ya know? 🌧️
너무 많이 먹었어, Went way overboard with the food now I’m stuck 🤢
그냥 걷고 있어, Walking with no destination just letting the day unfold 🚶‍♂️
친구들이랑 수다 떨고 있어, Just talkin’ nonsense laughin’ it up with the squad 😂
기분 전환 필요해, Need a change of pace just want to get out and breathe 🌳
밤새 놀았어, Stayed up all night now I’m feelin’ the crash 😴
이 음악 진짜 좋아, This track’s fire can't stop playing it 🔥
학교 끝났어, School’s over now it’s time to relax 🏫
지금은 딴 생각하고 있어, Mind’s wanderin’ lost in thought 🧠
새로운 프로젝트 시작했어, Started a new project hope it pops 💡
공부해야 돼, Gotta hit the books grind never stops 📚
친구들이랑 영화 보고 있어, Watchin’ a flick with the crew 🎥
몸이 아파, Feelin’ sore from yesterday’s workout need a break 💆‍♂️
오늘은 여유 있어, Taking it slow today no rush 🚶‍♂️
지금은 집중 중, Deep in focus no distractions 🎯
기분 짱이야, Feelin’ on top of the world right now 🌍
운전 중이야, Cruisin’ down the street windows down 🚗
배고프진 않은데, Not hungry but something sounds good 🥡
이 상황 너무 웃겨, This moment’s hilarious I can’t stop laughing 😂
머리 아파, Head’s killin’ me gotta chill for a sec 🧠
누구랑 만날 거야, About to link up with someone special 👀
일 끝났어, Work's over now it’s time for me 🕒
새로운 일 시작했어, Just started a new hustle big moves 💼
비가 와서 기분 좋아, Rain’s fallin’ but the vibe’s right 🌧️
너무 피곤해서 못 일어났어, Dead tired couldn’t get out of bed 😩
새로운 장소 가고 있어, Headed to a new spot let’s see what’s good 🔑
너무 좋은 날, Perfect day to be outside catchin’ vibes 🌞
말할 게 있어, Got something to say but I’m keepin’ it low-key 💬
지금 집중 중이야, Locked in on this task gotta finish it 💻
이 날씨 진짜 좋아, This weather’s perfect can’t beat it 🌤️
계속해서 나가야 해, Gotta keep pushin’ can’t stop now 💪
너무 기대돼, Super hyped for what’s comin’ next 🤩
너무 차가워, It’s cold as hell but we out here 🥶
기차 타고 가는 중, On the train chillin’ watchin’ the world go by 🚉
상태가 안 좋아, Not feelin’ it today but we still pushin’ 👊
이 노래 정말 좋아, This song’s my vibe right now it’s hittin’ different 🎶
오늘 하루는 어땠어?, How was your day? Hope it was fire 🔥
